Protein	Protein ID	Entry Name	Gene Names	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	RMAHA1 Spectral Count	RMAHA2 Spectral Count	RMAHA3 Spectral Count	RMAHA1 Unique Spectral Count	RMAHA2 Unique Spectral Count	RMAHA3 Unique Spectral Count	RMAHA1 Total Spectral Count	RMAHA2 Total Spectral Count	RMAHA3 Total Spectral Count	RMAHA1 Intensity	RMAHA2 Intensity	RMAHA3 Intensity	RMAHA1 MaxLFQ Intensity	RMAHA2 MaxLFQ Intensity	RMAHA3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A4W3W8|RS9_STRS2	A4W3W8	RS9_STRS2	rpsI	130	Streptococcus suis (strain 98HAH33) OX=391296	3:Protein inferred from homology	30S ribosomal protein S9	0.9794	0.997	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	"sp|B4U561|RS9_STREM, sp|C0MFN0|RS9_STRS7, tr|A0A060RKI7|A0A060RKI7_9STRE, tr|A0A081QCX5|A0A081QCX5_STRMT, tr|A0A0B7MAC9|A0A0B7MAC9_STREE, tr|A0A0C1KFH4|A0A0C1KFH4_STRCV, tr|A0A0E2IRS4|A0A0E2IRS4_STRIS, tr|A0A0P0N9D0|A0A0P0N9D0_STRAP, tr|A0A1C2C8F4|A0A1C2C8F4_STREQ, tr|A0A1S0Z6I8|A0A1S0Z6I8_SALET, tr|A0A1X1KRW6|A0A1X1KRW6_STRMT, tr|A0A2I1TT65|A0A2I1TT65_STRPA, tr|A0A2I1UTU2|A0A2I1UTU2_STRAP, tr|A0A2I1Z029|A0A2I1Z029_STRMT, tr|A0A2T0GAU3|A0A2T0GAU3_STRAP, tr|A0A2W5AIS8|A0A2W5AIS8_STRPY, tr|A0A380K2P0|A0A380K2P0_9STRE, tr|A0A3R9GY07|A0A3R9GY07_STRSA, tr|A0A3R9HBN5|A0A3R9HBN5_STRSA, tr|A0A3R9KW74|A0A3R9KW74_STRMT, tr|A0A3R9KWV9|A0A3R9KWV9_STRIT, tr|A0A426TD71|A0A426TD71_STRSU, tr|A0A428A942|A0A428A942_STRSA, tr|A0A4J1XDN3|A0A4J1XDN3_STREE, tr|A0A4M3JWI0|A0A4M3JWI0_STREE, tr|A0A4U1L8G8|A0A4U1L8G8_STRMT, tr|A0A6G2DB52|A0A6G2DB52_STREE, tr|A0A6I3VHU2|A0A6I3VHU2_STREE, tr|F0IK14|F0IK14_STRSA, tr|F2BPR0|F2BPR0_STRSA, tr|F9MJZ0|F9MJZ0_STRMT, tr|I0T8D5|I0T8D5_STRMT, tr|V6Z128|V6Z128_STRAG"
sp|A5A3E0|POTEF_HUMAN	A5A3E0	POTEF_HUMAN	POTEF	1075	Homo sapiens OX=9606	1:Experimental evidence at protein level	POTE ankyrin domain family member F	0	0.999	10	17	0	17	11	5	1	0	0	0	11	5	1	3.21E+09	2.81E+09	2.78E+09	1.30E+09	1.55E+09	1.66E+09	
sp|A5UE12|TIG_HAEIE	A5UE12	TIG_HAEIE	tig	432	Haemophilus influenzae (strain PittEE) OX=374930	3:Protein inferred from homology	Trigger factor	0.9904	0.9986	1	1	0	1	1	0	0	0	0	0	1	0	0	2401534.5	0	1424290.1	0	0	0	"sp|A5UHJ5|TIG_HAEIG, sp|P44837|TIG_HAEIN, sp|Q4QMK6|TIG_HAEI8, tr|A0A0E1SM98|A0A0E1SM98_HAEIF, tr|A0A0H3PK29|A0A0H3PK29_HAEI3, tr|A0A0M1GHI6|A0A0M1GHI6_9PAST, tr|A0A0M3G3E5|A0A0M3G3E5_HAEHA, tr|A0A0M3G6X0|A0A0M3G6X0_HAEHA, tr|A0A158T0G4|A0A158T0G4_HAEIF, tr|A0A1B3JFG5|A0A1B3JFG5_9PAST, tr|A0A1B8PF75|A0A1B8PF75_HAEHA, tr|A0A1B8QNB7|A0A1B8QNB7_9PAST, tr|A0A1B8QWK3|A0A1B8QWK3_9PAST, tr|A0A1B8T5H5|A0A1B8T5H5_HAEPA, tr|A0A1V3I9T9|A0A1V3I9T9_9PAST, tr|A0A1V3IIA9|A0A1V3IIA9_9PAST, tr|A0A1V3IPU4|A0A1V3IPU4_9PAST, tr|A0A1V3IW86|A0A1V3IW86_9PAST, tr|A0A1V3J1M7|A0A1V3J1M7_9PAST, tr|A0A1V3J523|A0A1V3J523_9PAST, tr|A0A1V3JBA8|A0A1V3JBA8_9PAST, tr|A0A1V3JH30|A0A1V3JH30_9PAST, tr|A0A1V3JL71|A0A1V3JL71_9PAST, tr|A0A1V3JWW4|A0A1V3JWW4_9PAST, tr|A0A1V3K224|A0A1V3K224_9PAST, tr|A0A1V3KNB7|A0A1V3KNB7_9PAST, tr|A0A1V3KTS4|A0A1V3KTS4_9PAST, tr|A0A1V3KYD5|A0A1V3KYD5_9PAST, tr|A0A1V3L5H9|A0A1V3L5H9_9PAST, tr|A0A1V3LA74|A0A1V3LA74_9PAST, tr|A0A2R3FXF1|A0A2R3FXF1_HAEIF, tr|A0A2S9RMX7|A0A2S9RMX7_HAEIF, tr|A0A2S9S0Q1|A0A2S9S0Q1_HAEIF, tr|A0A2S9S7U9|A0A2S9S7U9_HAEIF, tr|A0A2S9SHI9|A0A2S9SHI9_HAEIF, tr|A0A2U9DYI1|A0A2U9DYI1_HAEIF, tr|A0A2X1PTV4|A0A2X1PTV4_HAEIF, tr|A0A2X4DMB1|A0A2X4DMB1_HAEIF, tr|A0A2X4R400|A0A2X4R400_HAEHA, tr|A0A369YUP7|A0A369YUP7_HAEPA, tr|A0A369Z6K0|A0A369Z6K0_HAEPA, tr|A0A369ZK49|A0A369ZK49_HAEPA, tr|A0A377IVZ5|A0A377IVZ5_9PAST, tr|A0A377JI19|A0A377JI19_HAEPA, tr|A0A380TQ61|A0A380TQ61_9PAST, tr|A0A3S4V8I8|A0A3S4V8I8_HAEPA, tr|A0A3S4VGQ1|A0A3S4VGQ1_9PAST, tr|A0A410SFM2|A0A410SFM2_HAEPA, tr|A0A4R1KWL1|A0A4R1KWL1_9PAST, tr|A0A4R6D9W9|A0A4R6D9W9_HAEHA, tr|A0A4S2PFT7|A0A4S2PFT7_9PAST, tr|A0A4S2Q2T0|A0A4S2Q2T0_9PAST, tr|A0A4V0IAV2|A0A4V0IAV2_9PAST, tr|A0A4Y9GZL0|A0A4Y9GZL0_9PAST, tr|A0A502JKW1|A0A502JKW1_HAEHA, tr|A0A502K8I6|A0A502K8I6_HAEHA, tr|A0A502LBU3|A0A502LBU3_HAEHA, tr|A0A502LE37|A0A502LE37_HAEHA, tr|A0A5M6BN37|A0A5M6BN37_9PAST, tr|A0A6L9GKD4|A0A6L9GKD4_9PAST, tr|A0A7M1NXC5|A0A7M1NXC5_HAEPA, tr|A0A7M1P2V0|A0A7M1P2V0_HAEPA, tr|A0A822VF36|A0A822VF36_HAEIF, tr|A0A852PJ88|A0A852PJ88_HAEIF, tr|A0A854CVW9|A0A854CVW9_HAEIF, tr|A0A854D1F0|A0A854D1F0_HAEPA, tr|A0A8D4QDQ5|A0A8D4QDQ5_HAEIF, tr|A0A8D4QTN9|A0A8D4QTN9_HAEIF, tr|A0A8D4RA69|A0A8D4RA69_HAEIF, tr|A0A8D4RJ44|A0A8D4RJ44_HAEIF, tr|A0A8D4RJS2|A0A8D4RJS2_HAEIF, tr|A0A8D4RUG7|A0A8D4RUG7_HAEIF, tr|A0A8D4S056|A0A8D4S056_HAEIF, tr|A0A8D4TW61|A0A8D4TW61_HAEIF, tr|A0A8D4U4D3|A0A8D4U4D3_HAEIF, tr|A0A8D4U4I7|A0A8D4U4I7_HAEIF, tr|A0A8D4UEA1|A0A8D4UEA1_HAEIF, tr|A0A8E1QLU8|A0A8E1QLU8_HAEIF, tr|A0A8G1WP63|A0A8G1WP63_HAEIF, tr|A0A8I2W5A6|A0A8I2W5A6_HAEIF, tr|A4MX52|A4MX52_HAEIF, tr|A4P197|A4P197_HAEIF, tr|E1W254|E1W254_HAEP3, tr|F0ERA4|F0ERA4_HAEPA, tr|F9GRP9|F9GRP9_HAEHA, tr|F9GWP1|F9GWP1_HAEHA, tr|F9Q6G7|F9Q6G7_9PAST, tr|H1LN40|H1LN40_9PAST, tr|Q9S657|Q9S657_HAEIF"
sp|A6NHL2|TBAL3_HUMAN	A6NHL2	TBAL3_HUMAN	TUBAL3	446	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tubulin alpha chain-like 3	0.9999	0.995	3	1	1	4	1	0	0	1	0	0	4	0	0	2012912.2	2340913	0	0	0	0	
sp|A6VKC6|RL7_ACTSZ	A6VKC6	RL7_ACTSZ	rplL	122	Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 / 130Z) OX=339671	3:Protein inferred from homology	50S ribosomal protein L7/L12	0.9899	0.9985	1	2	0	2	2	0	0	0	0	0	2	0	0	1.38E+07	0	0	0	0	0	"sp|B0UUZ7|RL7_HISS2, sp|Q7VKL5|RL7_HAEDU, tr|A0A011MJJ8|A0A011MJJ8_9PAST, tr|A0A084EVC1|A0A084EVC1_GLAPU, tr|A0A7L8RJM4|A0A7L8RJM4_9PAST, tr|C5RYY8|C5RYY8_9PAST"
sp|A6VKH7|EFTU_ACTSZ	A6VKH7	EFTU_ACTSZ	tuf2	394	Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 / 130Z) OX=339671	3:Protein inferred from homology	Elongation factor Tu	0	0.9982	8	1	0	10	1	0	0	0	0	0	8	1	1	3528702	0	0	0	0	0	tr|A0A7L8RIC1|A0A7L8RIC1_9PAST
sp|A8K2U0|A2ML1_HUMAN	A8K2U0	A2ML1_HUMAN	A2ML1	1454	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-2-macroglobulin-like protein 1	1	0.999	45	87	26	87	52	17	18	18	4	4	52	17	18	3.78E+09	3.55E+09	2.98E+09	2.99E+08	2.91E+08	2.48E+08	
sp|A8MQ03|CRTP1_HUMAN	A8MQ03	CRTP1_HUMAN	CYSRT1	144	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cysteine-rich tail protein 1	1	0.999	2	5	4	5	2	1	2	1	1	2	2	1	2	5.63E+07	3.86E+07	4.30E+07	0	0	0	
sp|A8MTJ3|GNAT3_HUMAN	A8MTJ3	GNAT3_HUMAN	GNAT3	354	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Guanine nucleotide-binding protein G(t) subunit alpha-3	0	0.9981	2	1	0	2	1	0	0	0	0	0	2	0	0	5334067	0	0	0	0	0	"sp|P11488|GNAT1_HUMAN, sp|P19087|GNAT2_HUMAN, sp|P63096|GNAI1_HUMAN"
sp|B1I8K9|RL24_STRPI	B1I8K9	RL24_STRPI	rplX	111	Streptococcus pneumoniae (strain Hungary19A-6) OX=487214	3:Protein inferred from homology	50S ribosomal protein L24	1	0.9979	2	2	0	2	2	0	0	0	0	0	2	0	0	1.53E+07	0	0	0	0	0	"tr|A0A0B7LG12|A0A0B7LG12_STREE, tr|A0A1S0ZF42|A0A1S0ZF42_SALET, tr|A0A1X1JY52|A0A1X1JY52_STRMT, tr|A0A4G1V8I9|A0A4G1V8I9_STREE"
sp|B1I8Z9|EFG_STRPI	B1I8Z9	EFG_STRPI	fusA	693	Streptococcus pneumoniae (strain Hungary19A-6) OX=487214	3:Protein inferred from homology	Elongation factor G	1	0.999	6	7	0	7	7	0	0	0	0	0	7	0	0	3.47E+07	7217798	2.80E+07	9244918	3866212.2	1.14E+07	"tr|A0A081SCV9|A0A081SCV9_STRMT, tr|A0A0F2DYA7|A0A0F2DYA7_STRMT, tr|A0A150NQ35|A0A150NQ35_STRMT, tr|A0A1T0C553|A0A1T0C553_STRMT, tr|A0A1X1JLJ5|A0A1X1JLJ5_STRMT, tr|A0A3R9IKI7|A0A3R9IKI7_STRMT, tr|A0A3R9IWM9|A0A3R9IWM9_STRMT, tr|A0A3R9NJD1|A0A3R9NJD1_STRSA, tr|A0A4U1LAB4|A0A4U1LAB4_STRMT, tr|A0A7X1RKE9|A0A7X1RKE9_STRMT, tr|F9P1Z5|F9P1Z5_STRMT"
sp|B2IMB5|DNAK_STRPS	B2IMB5	DNAK_STRPS	dnaK	607	Streptococcus pneumoniae (strain CGSP14) OX=516950	3:Protein inferred from homology	Chaperone protein DnaK	1	0.999	12	15	0	15	13	1	1	0	0	0	13	1	1	1.58E+08	2.97E+07	4.54E+07	3.68E+07	1.51E+07	1.24E+07	"tr|A0A062WLP4|A0A062WLP4_STREE, tr|A0A081Q3Z4|A0A081Q3Z4_STRMT, tr|A0A081Q6G7|A0A081Q6G7_STRMT, tr|A0A081QHV5|A0A081QHV5_STRMT, tr|A0A081SD52|A0A081SD52_STRMT, tr|A0A0F2DTS4|A0A0F2DTS4_STRMT, tr|A0A0I9AVD2|A0A0I9AVD2_STREE, tr|A0A0T8EH75|A0A0T8EH75_STREE, tr|A0A0T9I7B3|A0A0T9I7B3_STREE, tr|A0A0U0K903|A0A0U0K903_STREE, tr|A0A0X8UW76|A0A0X8UW76_STRMT, tr|A0A0Y1HTS9|A0A0Y1HTS9_STREE, tr|A0A139PZ18|A0A139PZ18_STRMT, tr|A0A1X1JLU4|A0A1X1JLU4_STRMT, tr|A0A1X1K805|A0A1X1K805_STRMT, tr|A0A1X1KB19|A0A1X1KB19_STRMT, tr|A0A1X1KLW5|A0A1X1KLW5_STRMT, tr|A0A1X1KZC1|A0A1X1KZC1_STRMT, tr|A0A1X1L545|A0A1X1L545_STRMT, tr|A0A1X1L723|A0A1X1L723_STRMT, tr|A0A3R9IK75|A0A3R9IK75_STRMT, tr|A0A3R9IYC4|A0A3R9IYC4_STRMT, tr|A0A3R9KBX3|A0A3R9KBX3_STRMT, tr|A0A3R9MBY6|A0A3R9MBY6_STRMT, tr|A0A3R9TK99|A0A3R9TK99_STRMT, tr|A0A428D1H5|A0A428D1H5_STRMT, tr|A0A4J0IC90|A0A4J0IC90_STREE, tr|A0A4J1QIG3|A0A4J1QIG3_STREE, tr|A0A4J1U9L0|A0A4J1U9L0_STREE, tr|A0A4L8D9E0|A0A4L8D9E0_STREE, tr|A0A4N5PQL8|A0A4N5PQL8_STREE, tr|A0A6G2D8I4|A0A6G2D8I4_STREE, tr|A0A6I1U020|A0A6I1U020_STRMT, tr|A0A6I3UIP4|A0A6I3UIP4_STREE, tr|A0A853PGA1|A0A853PGA1_STREE, tr|F9MLC4|F9MLC4_STRMT, tr|F9P372|F9P372_STRMT, tr|I0SVP5|I0SVP5_STRMT, tr|R0LJ99|R0LJ99_STRMT, tr|S7XKJ6|S7XKJ6_STRMT"
sp|B3EWG5|FM25C_HUMAN	B3EWG5	FM25C_HUMAN	FAM25C	89	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein FAM25C	1	0.999	5	7	7	7	5	1	1	5	1	1	5	1	1	9.14E+07	5.69E+07	4.89E+07	5.76E+07	4.51E+07	3.15E+07	
sp|B3PK33|RS7_CELJU	B3PK33	RS7_CELJU	rpsG	156	Cellvibrio japonicus (strain Ueda107) OX=498211	3:Protein inferred from homology	30S ribosomal protein S7	1	0.9981	2	5	0	5	1	2	2	0	0	0	1	2	2	4498904	4.16E+07	3.53E+07	0	2.56E+07	2.15E+07	"sp|Q8FS86|RS7_COREF, tr|A0A010RFV1|A0A010RFV1_PSEFL, tr|A0A023WX46|A0A023WX46_PSEST, tr|A0A024EED9|A0A024EED9_9PSED, tr|A0A059US07|A0A059US07_PSEPU, tr|A0A061D5J6|A0A061D5J6_PSEOL, tr|A0A061JJ92|A0A061JJ92_PSEST, tr|A0A075U0M9|A0A075U0M9_9CORY, tr|A0A087PLZ7|A0A087PLZ7_9PROT, tr|A0A088QXP4|A0A088QXP4_9CORY, tr|A0A094YZK4|A0A094YZK4_9PROT, tr|A0A095WSM2|A0A095WSM2_9ACTO, tr|A0A095WXQ3|A0A095WXQ3_9ACTO, tr|A0A096A9A0|A0A096A9A0_9CORY, tr|A0A098FVF9|A0A098FVF9_9PSED, tr|A0A0B5D0N0|A0A0B5D0N0_9CORY, tr|A0A0B6TJ86|A0A0B6TJ86_9CORY, tr|A0A0B7DGX9|A0A0B7DGX9_PSEFL, tr|A0A0C1ZJP1|A0A0C1ZJP1_PSEFL, tr|A0A0C2S3X8|A0A0C2S3X8_PSEST, tr|A0A0D0P8P1|A0A0D0P8P1_PSEFL, tr|A0A0D6FFS0|A0A0D6FFS0_CORDP, tr|A0A0D6MV96|A0A0D6MV96_ACEAC, tr|A0A0D7E3T6|A0A0D7E3T6_PSEST, tr|A0A0D9AR51|A0A0D9AR51_PSEFL, tr|A0A0D9ASX2|A0A0D9ASX2_PSEST, tr|A0A0E3N6W9|A0A0E3N6W9_CORUL, tr|A0A0F4TI26|A0A0F4TI26_PSEFL, tr|A0A0F6QUM5|A0A0F6QUM5_9CORY, tr|A0A0F6TCR0|A0A0F6TCR0_9CORY, tr|A0A0G3GTV2|A0A0G3GTV2_9CORY, tr|A0A0G3GZ04|A0A0G3GZ04_9CORY, tr|A0A0G3H7N4|A0A0G3H7N4_9CORY, tr|A0A0G3HAG8|A0A0G3HAG8_9CORY, tr|A0A0H3YUY3|A0A0H3YUY3_PSEST, tr|A0A0K0TBS2|A0A0K0TBS2_ACEPA, tr|A0A0K2GY25|A0A0K2GY25_9CORY, tr|A0A0K2S0P3|A0A0K2S0P3_9MICC, tr|A0A0M3RJ58|A0A0M3RJ58_9ACTO, tr|A0A0M4M813|A0A0M4M813_9ACTN, tr|A0A0M4TLQ9|A0A0M4TLQ9_9PROT, tr|A0A0U5F505|A0A0U5F505_9PROT, tr|A0A0X8ETL6|A0A0X8ETL6_PSEFR, tr|A0A0X8JEK5|A0A0X8JEK5_ACTRD, tr|A0A0X8K0N9|A0A0X8K0N9_9ACTO, tr|A0A120N4T8|A0A120N4T8_9CORY, tr|A0A127MLV1|A0A127MLV1_9PSED, tr|A0A133Z2B2|A0A133Z2B2_9CORY, tr|A0A133ZA71|A0A133ZA71_9CORY, tr|A0A142IW30|A0A142IW30_PSEAC, tr|A0A143WTI7|A0A143WTI7_9ENTR, tr|A0A172WQJ8|A0A172WQJ8_PSEST, tr|A0A1A0JUA3|A0A1A0JUA3_9CORY, tr|A0A1C2EE66|A0A1C2EE66_9PSED, tr|A0A1C7BJ55|A0A1C7BJ55_PSEAI, tr|A0A1E9QC13|A0A1E9QC13_9CORY, tr|A0A1F1L2V2|A0A1F1L2V2_9CORY, tr|A0A1G8HM49|A0A1G8HM49_9PSED, tr|A0A1G9T8W7|A0A1G9T8W7_9ACTO, tr|A0A1H0A8Y3|A0A1H0A8Y3_9ACTO, tr|A0A1H2JIW5|A0A1H2JIW5_PSEFR, tr|A0A1H9R8H8|A0A1H9R8H8_9CORY, tr|A0A1I2PQF5|A0A1I2PQF5_9CORY, tr|A0A1L7CDT0|A0A1L7CDT0_9CORY, tr|A0A1L7CJS4|A0A1L7CJS4_CORFL, tr|A0A1L7CQZ7|A0A1L7CQZ7_9CORY, tr|A0A1L7CVR0|A0A1L7CVR0_9CORY, tr|A0A1L7D574|A0A1L7D574_9CORY, tr|A0A1M5Q637|A0A1M5Q637_9PSED, tr|A0A1M6BFG6|A0A1M6BFG6_9ACTO, tr|A0A1N7ILY8|A0A1N7ILY8_9CORY, tr|A0A1Q9VV16|A0A1Q9VV16_9CORY, tr|A0A1S1EPT5|A0A1S1EPT5_9CORY, tr|A0A1S8EVY2|A0A1S8EVY2_PSEST, tr|A0A1U9LCX6|A0A1U9LCX6_9PROT, tr|A0A1X0U3W7|A0A1X0U3W7_9PROT, tr|A0A1Y3FZJ0|A0A1Y3FZJ0_9PROT, tr|A0A1Y5MFD5|A0A1Y5MFD5_9PROT, tr|A0A246F3U8|A0A246F3U8_9PSED, tr|A0A252ADS4|A0A252ADS4_9PROT, tr|A0A252AWX7|A0A252AWX7_9PROT, tr|A0A252BGE0|A0A252BGE0_9PROT, tr|A0A252BW99|A0A252BW99_9PROT, tr|A0A267A3A1|A0A267A3A1_PSEFR, tr|A0A270BT01|A0A270BT01_9PROT, tr|A0A2A8D8D8|A0A2A8D8D8_9MICC, tr|A0A2A9DLJ9|A0A2A9DLJ9_9CORY, tr|A0A2C9EUC7|A0A2C9EUC7_PSEPH, tr|A0A2I1VVI5|A0A2I1VVI5_9CORY, tr|A0A2N6SX01|A0A2N6SX01_9CORY, tr|A0A2N6T3M2|A0A2N6T3M2_9CORY, tr|A0A2N6V1H3|A0A2N6V1H3_9ACTO, tr|A0A2N8SR92|A0A2N8SR92_PSEST, tr|A0A2R3QQ50|A0A2R3QQ50_PSEME, tr|A0A2S0LNK7|A0A2S0LNK7_9ACTO, tr|A0A2S3WVA3|A0A2S3WVA3_PSEPU, tr|A0A2S9Z0Q2|A0A2S9Z0Q2_9CORY, tr|A0A2U1T9Q4|A0A2U1T9Q4_9CORY, tr|A0A2V4LAG6|A0A2V4LAG6_PSEAC, tr|A0A2W5K863|A0A2W5K863_9ACTN, tr|A0A2W6UAZ8|A0A2W6UAZ8_ACTSX, tr|A0A2X2CWZ1|A0A2X2CWZ1_PSELU, tr|A0A2Z3YV95|A0A2Z3YV95_9CORY, tr|A0A2Z5ZN43|A0A2Z5ZN43_9PROT, tr|A0A327MPA9|A0A327MPA9_PSEFL, tr|A0A370G3Y5|A0A370G3Y5_GLULI, tr|A0A376C6G7|A0A376C6G7_CORAY, tr|A0A376CM66|A0A376CM66_9CORY, tr|A0A3D9F4S6|A0A3D9F4S6_PSEOL, tr|A0A3L0VWQ5|A0A3L0VWQ5_ECOLX, tr|A0A3M0GXC3|A0A3M0GXC3_9CORY, tr|A0A3M2GY05|A0A3M2GY05_ACTSX, tr|A0A3M8K6S4|A0A3M8K6S4_9CORY, tr|A0A3P1V957|A0A3P1V957_9ACTO, tr|A0A3R8R162|A0A3R8R162_9CORY, tr|A0A3S0A0D1|A0A3S0A0D1_9CORY, tr|A0A3S4V4A5|A0A3S4V4A5_9ACTO, tr|A0A418UQQ5|A0A418UQQ5_9ACTO, tr|A0A423L1B1|A0A423L1B1_PSEFL, tr|A0A423MI31|A0A423MI31_PSEFL, tr|A0A448KBU0|A0A448KBU0_9ACTO, tr|A0A448TGP1|A0A448TGP1_9CORY, tr|A0A4P7QDJ1|A0A4P7QDJ1_9CORY, tr|A0A4Y3TRE7|A0A4Y3TRE7_9PROT, tr|A0A4Y4C3K6|A0A4Y4C3K6_9CORY, tr|A0A4Z0IH74|A0A4Z0IH74_9PSED, tr|A0A508A0Q0|A0A508A0Q0_9ACTO, tr|A0A511X9A6|A0A511X9A6_9PROT, tr|A0A511XG03|A0A511XG03_9PROT, tr|A0A533IF56|A0A533IF56_CUTAC, tr|A0A5B8NVV1|A0A5B8NVV1_9CORY, tr|A0A5C1YMJ2|A0A5C1YMJ2_9PROT, tr|A0A5C4U4K1|A0A5C4U4K1_9CORY, tr|A0A5C5TV48|A0A5C5TV48_9CORY, tr|A0A5E6V0H5|A0A5E6V0H5_PSEFL, tr|A0A5J6ZBS1|A0A5J6ZBS1_9CORY, tr|A0A6B8VFI9|A0A6B8VFI9_9CORY, tr|A0A6B8VUL3|A0A6B8VUL3_9CORY, tr|A0A6B8W347|A0A6B8W347_9CORY, tr|A0A6G6IQI8|A0A6G6IQI8_9PSED, tr|A0A6I0FV24|A0A6I0FV24_9CORY, tr|A0A6N3T219|A0A6N3T219_9PROT, tr|A0A7C6CEF3|A0A7C6CEF3_ACTSX, tr|A0A7G5FHT1|A0A7G5FHT1_9CORY, tr|A0A7G7YQ37|A0A7G7YQ37_9CORY, tr|A0A7H0SM05|A0A7H0SM05_9CORY, tr|A0A7L5ARQ1|A0A7L5ARQ1_9ACTO, tr|A0A7S9NEE3|A0A7S9NEE3_9PROT, tr|A0A7T0KGV7|A0A7T0KGV7_9CORY, tr|A0A7T0LJM4|A0A7T0LJM4_9ACTO, tr|A0A7T4EFK1|A0A7T4EFK1_9CORY, tr|A0A7T7S2L6|A0A7T7S2L6_9ACTO, tr|A0A7W4NHE1|A0A7W4NHE1_GLUDI, tr|A0A7X8VN27|A0A7X8VN27_CORSP, tr|A0A7Y9ZZC3|A0A7Y9ZZC3_9CORY, tr|A0A7Z0IPS1|A0A7Z0IPS1_9CORY, tr|A0A7Z0VSW4|A0A7Z0VSW4_9ACTO, tr|A0A7Z1N2Y3|A0A7Z1N2Y3_STAAU, tr|A0A7Z3BSC3|A0A7Z3BSC3_9PSED, tr|A0A811G2S7|A0A811G2S7_CORDP, tr|A0A847HDY1|A0A847HDY1_9CORY, tr|A0A853EMZ8|A0A853EMZ8_9ACTO, tr|A0A854NI01|A0A854NI01_CORDP, tr|A0A8D5LC94|A0A8D5LC94_RHOHA, tr|A0A8G2VFK3|A0A8G2VFK3_PSEAI, tr|A0A8G3ZUI1|A0A8G3ZUI1_PSEAI, tr|A0A8G4AMW5|A0A8G4AMW5_PSEAI, tr|A0A8G4N7K8|A0A8G4N7K8_PSEAI, tr|A0A8G5TYS2|A0A8G5TYS2_PSEAI, tr|A0A8G7PP12|A0A8G7PP12_PSEAI, tr|A0A8I0HD68|A0A8I0HD68_9CORY, tr|D7WAZ4|D7WAZ4_9CORY, tr|E0MVG0|E0MVG0_9CORY, tr|E6KU44|E6KU44_9ACTO, tr|F3P8C7|F3P8C7_9ACTO, tr|F8G116|F8G116_PSEP6, tr|F9EEV9|F9EEV9_9ACTO, tr|H8KYJ4|H8KYJ4_FRAAD, tr|J0XGD6|J0XGD6_9ACTO, tr|J1LMC1|J1LMC1_9ACTO, tr|L1PHZ4|L1PHZ4_9ACTO, tr|L8M8R1|L8M8R1_PSEFK, tr|M1P4E6|M1P4E6_9CORY, tr|M1US82|M1US82_9CORY, tr|Q1PAI6|Q1PAI6_9PSED, tr|Q1PAJ9|Q1PAJ9_9PSED, tr|Q1PAK7|Q1PAK7_PSEO1, tr|R5QJP1|R5QJP1_9PROT, tr|S2ZUX7|S2ZUX7_9CORY, tr|S4XIQ0|S4XIQ0_9CORY, tr|S6AF59|S6AF59_PSERE, tr|U3GXR6|U3GXR6_9CORY, tr|U7KTZ8|U7KTZ8_9CORY, tr|W1VMF1|W1VMF1_9ACTO, tr|W5Y5Q1|W5Y5Q1_9CORY"
sp|B3PLM6|CH60_CELJU	B3PLM6	CH60_CELJU	groEL	545	Cellvibrio japonicus (strain Ueda107) OX=498211	3:Protein inferred from homology	Chaperonin GroEL	0.7497	0.9886	2	2	0	2	2	0	0	0	0	0	2	0	0	5.38E+07	1.63E+08	1.67E+08	4.18E+07	1.47E+08	1.68E+08	"tr|A0A077LA81|A0A077LA81_9ENTR, tr|A0A142IV25|A0A142IV25_PSEAC, tr|A0A1H7VHQ3|A0A1H7VHQ3_9PAST, tr|A0A2R3QR92|A0A2R3QR92_PSEME, tr|A0A2S7FMI0|A0A2S7FMI0_PSEOL, tr|A0A2V4MDN5|A0A2V4MDN5_PSEAC, tr|A0A379C9T1|A0A379C9T1_9PAST, tr|A0A379IQX5|A0A379IQX5_PSEME, tr|A0A379JPT2|A0A379JPT2_PSEOL, tr|A0A379K2B7|A0A379K2B7_PSEOL, tr|A0A397ME35|A0A397ME35_PSEOL, tr|A0A3R8W4K4|A0A3R8W4K4_PSEOL, tr|A0A550EP35|A0A550EP35_PSEME, tr|A0A5C8YGR1|A0A5C8YGR1_PSEME, tr|A0A653B196|A0A653B196_PSEOL, tr|A0A8I0SKK7|A0A8I0SKK7_PSEME, tr|W6QU12|W6QU12_PSEP5"
